district,total_load,Avg_Service_Min,Stress_Level_Percent,Est_Wait_Time_Mins,Optimal_Counters
Pune,528125.0,12.626844730234831,277856.3488814696,480.0,16345.0
Pune,509927.0,12.899026921447733,274065.0875405449,480.0,16122.0
Pune,501989.0,13.023934739735852,272411.33233605255,480.0,16025.0
Pune,497349.0,13.098793606112396,271444.6625502665,480.0,15968.0
Pune,415058.0,14.704487795710971,254300.6373130085,480.0,14959.0
Thane,486385.0,12.332170333850069,249924.27782623604,480.0,14702.0
Thane,473609.0,12.529961360613163,247262.60291827662,480.0,14545.0
Nashik,437084.0,13.527002756900831,246351.51970821843,480.0,14492.0
Nashik,436428.0,13.539819764497777,246214.85250750984,480.0,14484.0
Nashik,431253.0,13.642296651161496,245136.72323763953,480.0,14420.0
Nashik,425806.0,13.752850469813788,244001.92696456375,480.0,14354.0
Thane,457437.0,12.7961712844145,243893.4251595298,480.0,14347.0
Thane,447984.0,12.960679487036396,241924.04330502136,480.0,14231.0
Nashik,379044.0,14.832671582529779,234259.7986386841,480.0,13780.0
Thane,364973.0,14.771285077841162,224630.00952978845,480.0,13214.0
Ahmedabad,394357.0,12.95271048133929,212833.0019703966,480.0,12520.0
Ahmedabad,379887.0,13.255630606915723,209818.40601539137,480.0,12343.0
Ahmedabad,372873.0,13.410924333689128,208357.14954481946,480.0,12257.0
Ahmedabad,369510.0,13.487473985889459,207656.52135525056,480.0,12216.0
Ahmedabad,319367.0,14.820066506350042,197210.0074972289,480.0,11601.0
North West Delhi,393892.0,11.507262124485583,188859.10386407815,480.0,11110.0
Aurangabad,344273.0,12.986589170253925,186288.83389211787,480.0,10959.0
Aurangabad,341640.0,13.048141177434793,185740.2896607843,480.0,10926.0
Aurangabad,335571.0,13.193696136745617,184475.90859599432,480.0,10852.0
Aurangabad,333643.0,13.241044346668904,184074.23995648554,480.0,10828.0
Jalgaon,319813.0,13.738376056082599,183071.30256766433,480.0,10769.0
Jalgaon,317448.0,13.8034770939584,182578.59152178775,480.0,10740.0
Jalgaon,315349.0,13.862073886158237,182141.2974135881,480.0,10715.0
Jalgaon,313249.0,13.92148443735036,181703.79493814844,480.0,10689.0
Jaipur,351236.0,12.238887133189271,179114.0733797028,480.0,10537.0
North West Delhi,331790.0,12.725239684017952,175921.13644834654,480.0,10349.0
Jalgaon,282547.0,14.890903492503929,175307.5045456878,480.0,10313.0
Jaipur,326209.0,12.794258299868183,173900.09190590415,480.0,10230.0
Aurangabad,280632.0,14.797760776530202,173030.21675996765,480.0,10179.0
North West Delhi,313057.0,13.187508385027694,172018.40885381727,480.0,10119.0
Jaipur,306662.0,13.291071958469068,169827.77953866837,480.0,9990.0
Jaipur,303624.0,13.374030465212021,169194.85941539725,480.0,9953.0
North West Delhi,297255.0,13.62275277874963,168726.30738530087,480.0,9926.0
Kurnool,306844.0,13.152210399387313,168153.20199123333,480.0,9892.0
Mumbai,290174.0,13.831860084431808,167235.2570058298,480.0,9838.0
Mumbai,289593.0,13.849579065864624,167114.21460087225,480.0,9831.0
Mumbai,288408.0,13.885939759161468,166867.33808584337,480.0,9816.0
Mumbai,287309.0,13.919929692666457,166638.37833626283,480.0,9803.0
Kurnool,293172.0,13.532385315155215,165304.85281727853,480.0,9724.0
Kurnool,289602.0,13.63756590919293,164561.09843475377,480.0,9681.0
Kurnool,285487.0,13.762067057109231,163703.8015805393,480.0,9630.0
Mumbai,261394.0,14.80426174945963,161239.38315576044,480.0,9485.0
North West Delhi,259580.0,14.874239640035288,160877.29690668167,480.0,9464.0
Jaipur,258894.0,14.820834701326794,159876.04913188744,480.0,9405.0
Solapur,299099.0,12.683567368772986,158068.42985135963,480.0,9299.0
Surat,343220.0,11.04463304984252,157947.45647362294,480.0,9292.0
Solapur,297338.0,12.729073549046712,157701.5529552688,480.0,9277.0
Kurnool,253275.0,14.876439141489916,156992.92181503575,480.0,9235.0
Nagpur,278301.0,13.523887719096521,156821.31150467836,480.0,9225.0
Nagpur,277748.0,13.540858832975097,156706.1024642153,480.0,9219.0
Solapur,292442.0,12.85847156539907,156681.54756368478,480.0,9217.0
Nagpur,275720.0,13.603679081390245,156283.59984670492,480.0,9194.0
Nanded,294964.0,12.70727035410981,156174.47053040192,480.0,9187.0
Solapur,289207.0,12.946374235844099,156007.58556774017,480.0,9177.0
Nagpur,272218.0,13.714362333268435,155554.01190156944,480.0,9151.0
Ahmadnagar,287156.0,12.913284370570803,154505.29527981792,480.0,9089.0
Bengaluru,307558.0,12.050208252725493,154422.41457465617,480.0,9084.0
Nanded,286177.0,12.943919518621279,154343.83567002005,480.0,9080.0
Nanded,285447.0,12.964235167175808,154191.75149020136,480.0,9071.0
Ahmadnagar,283735.0,13.008694702117461,153792.58297105407,480.0,9047.0
Ahmadnagar,283164.0,13.024844172125793,153673.62396482614,480.0,9040.0
Visakhapatnam,276695.0,13.238012114378234,152620.4900828286,480.0,8978.0
Ahmadnagar,277209.0,13.197233144547456,152432.99178195233,480.0,8967.0
Nanded,274937.0,13.268682393848795,152002.15547156692,480.0,8942.0
Bengaluru,294489.0,12.363085333967197,151699.69320477775,480.0,8924.0
Bengaluru,291805.0,12.430810195815027,151140.52371624185,480.0,8891.0
Visakhapatnam,265966.0,13.570330153740878,150385.26790291027,480.0,8847.0
Visakhapatnam,263109.0,13.663391737296188,149790.05569201094,480.0,8812.0
Visakhapatnam,260436.0,13.752308619742971,149233.17698714085,480.0,8779.0
Nagpur,241024.0,14.842194793071258,149055.2149085503,480.0,8768.0
Hyderabad,285763.0,12.407563583936396,147734.2746848507,480.0,8691.0
Bengaluru,273564.0,12.926288085098605,147340.29473799645,480.0,8668.0
Amravati,252663.0,13.9409452870215,146765.0441272797,480.0,8634.0
Amravati,250265.0,14.026615680915507,146265.45722434664,480.0,8604.0
Amravati,249626.0,14.049722185500768,146132.3312615756,480.0,8597.0
Surat,286336.0,12.245466006838097,146096.57310558305,480.0,8594.0
Amravati,245168.0,14.21427668261485,145203.57440513826,480.0,8542.0
Solapur,236540.0,14.715672970013655,145035.2201802929,480.0,8532.0
